file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,178,css,59ef4dd0,kgtam-byte,2026-05-01,23:17:50,-07:00,2026-05-01T23:17:50-07:00,0,0
style.css,179,css,59ef4dd0,kgtam-byte,2026-05-01,23:17:50,-07:00,2026-05-01T23:17:50-07:00,0,0
style.css,180,css,59ef4dd0,kgtam-byte,2026-05-01,23:17:50,-07:00,2026-05-01T23:17:50-07:00,0,0
style.css,181,css,5973693f,kgtam-byte,2026-04-11,22:36:53,-07:00,2026-04-11T22:36:53-07:00,0,8
style.css,182,css,5973693f,kgtam-byte,2026-04-11,22:36:53,-07:00,2026-04-11T22:36:53-07:00,0,7
style.css,183,css,5973693f,kgtam-byte,2026-04-11,22:36:53,-07:00,2026-04-11T22:36:53-07:00,1,11
style.css,184,css,5973693f,kgtam-byte,2026-04-11,22:36:53,-07:00,2026-04-11T22:36:53-07:00,1,18
style.css,185,css,5973693f,kgtam-byte,2026-04-11,22:36:53,-07:00,2026-04-11T22:36:53-07:00,1,34
style.css,186,css,5973693f,kgtam-byte,2026-04-11,22:36:53,-07:00,2026-04-11T22:36:53-07:00,1,19
style.css,187,css,5973693f,kgtam-byte,2026-04-11,22:36:53,-07:00,2026-04-11T22:36:53-07:00,1,34
style.css,188,css,5973693f,kgtam-byte,2026-04-11,22:36:53,-07:00,2026-04-11T22:36:53-07:00,0,0
style.css,189,css,5973693f,kgtam-byte,2026-04-11,22:36:53,-07:00,2026-04-11T22:36:53-07:00,0,0
style.css,190,css,5973693f,kgtam-byte,2026-04-11,22:36:53,-07:00,2026-04-11T22:36:53-07:00,0,13
style.css,191,css,5973693f,kgtam-byte,2026-04-11,22:36:53,-07:00,2026-04-11T22:36:53-07:00,1,34
style.css,192,css,5973693f,kgtam-byte,2026-04-11,22:36:53,-07:00,2026-04-11T22:36:53-07:00,1,26
style.css,193,css,5973693f,kgtam-byte,2026-04-11,22:36:53,-07:00,2026-04-11T22:36:53-07:00,1,24
style.css,194,css,5973693f,kgtam-byte,2026-04-11,22:36:53,-07:00,2026-04-11T22:36:53-07:00,0,0
style.css,195,css,5973693f,kgtam-byte,2026-04-11,22:36:53,-07:00,2026-04-11T22:36:53-07:00,0,0
style.css,196,css,5973693f,kgtam-byte,2026-04-11,22:36:53,-07:00,2026-04-11T22:36:53-07:00,0,0
style.css,197,css,5973693f,kgtam-byte,2026-04-11,22:36:53,-07:00,2026-04-11T22:36:53-07:00,0,7
style.css,198,css,43115156,kgtam-byte,2026-04-03,18:10:54,-07:00,2026-04-03T18:10:54-07:00,0,3
style.css,199,css,43115156,kgtam-byte,2026-04-03,18:10:54,-07:00,2026-04-03T18:10:54-07:00,2,11
style.css,200,css,c58be3cf,kgtam-byte,2026-04-03,18:18:31,-07:00,2026-04-03T18:18:31-07:00,2,11
style.css,201,css,b5a1b699,kgtam-byte,2026-04-03,22:10:42,-07:00,2026-04-03T22:10:42-07:00,0,0
style.css,202,css,b665f026,kgtam-byte,2026-04-03,22:30:31,-07:00,2026-04-03T22:30:31-07:00,0,0
style.css,203,css,5a428b77,kgtam-byte,2026-04-25,22:03:40,-07:00,2026-04-25T22:03:40-07:00,0,15
style.css,204,css,5a428b77,kgtam-byte,2026-04-25,22:03:40,-07:00,2026-04-25T22:03:40-07:00,0,17
